time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1995-11-24T22:26:35.470Z,29.189,34.877,10,4.2,ml,,,,0.5,us,usp00077em,2014-11-07T00:59:13.590Z,"26 km NE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,jer
1995-11-24T16:43:45.460Z,28.941,34.71,10,4.9,mb,,,,1.3,us,usp00077e3,2014-11-07T00:59:13.443Z,"12 km SSE of Nuwaybi‘a, Egypt",earthquake,,,,61,reviewed,us,us
1995-11-24T03:35:45.120Z,29.202,35.115,10,4.4,ml,,,,0.5,us,usp00077cr,2014-11-07T00:59:13.295Z,"26 km SSE of Tala Bay, Jordan",earthquake,,,,,reviewed,us,jer
1995-11-23T22:28:19.860Z,28.663,34.915,10,3.9,mb,,,,0.8,us,usp00077c5,2014-11-07T00:59:13.245Z,"45 km ENE of Dahab, Egypt",earthquake,,,,1,reviewed,us,us
1995-11-23T03:05:07.600Z,28.726,34.768,10,4.6,mb,,,,1.2,us,usp00077ah,2014-11-07T00:59:13.010Z,"36 km SSE of Nuwaybi‘a, Egypt",earthquake,,,,21,reviewed,us,us
1995-11-22T22:16:53.930Z,28.52,34.701,10,5.4,mw,,,,1.3,us,usp00077a3,2022-04-29T19:53:57.249Z,"20 km ENE of Dahab, Egypt",earthquake,,,,,reviewed,us,hrv
1995-11-22T20:02:31.410Z,29.056,34.795,10,4.4,mb,,,,0.8,us,usp00077a0,2014-11-07T00:59:12.907Z,"12 km E of Nuwaybi‘a, Egypt",earthquake,,,,13,reviewed,us,us
1995-11-22T12:47:05.180Z,28.536,35.005,10,5.1,mb,,,,1.3,us,usp000779c,2022-04-29T19:53:54.837Z,"50 km E of Dahab, Egypt",earthquake,,,,66,reviewed,us,us
1995-11-22T11:37:14.620Z,28.768,34.841,10,4.9,ml,,,,1.4,us,usp0007798,2014-11-07T00:59:12.487Z,"35 km SSE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,jer
1995-11-22T09:52:48.380Z,28.83,35.399,10,4,mb,,,,0.4,us,usp000778y,2014-11-07T00:59:12.467Z,"75 km ESE of Nuwaybi‘a, Egypt",earthquake,,,,5,reviewed,us,us
1995-11-22T08:58:43.220Z,29.024,34.738,10,4.4,ml,,,,0.6,us,usp000778u,2014-11-07T00:59:12.459Z,"7 km ESE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,jer
1995-11-22T07:55:30.480Z,29.049,34.713,10,4.8,mb,,,,1.1,us,usp000778r,2014-11-07T00:59:12.447Z,"4 km E of Nuwaybi‘a, Egypt",earthquake,,,,41,reviewed,us,us
1995-11-22T04:15:11.940Z,28.826,34.799,10,7.2,mw,,,,1.3,us,usp0007788,2022-04-29T19:53:53.438Z,"27 km SSE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,hrv
1995-10-03T19:33:22.300Z,27.585,34.387,10,3.4,md,,,,0.4,us,usp00074eb,2014-11-07T00:58:53.383Z,"37 km S of Sharm el-Sheikh, Egypt",earthquake,,,,,reviewed,us,ryd
1995-08-31T23:05:19.510Z,29.194,34.819,10,3.7,ml,,,,0.4,us,usp00072r6,2014-11-07T00:58:37.159Z,"22 km NE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,jer
1995-07-28T23:30:52.390Z,28.935,35.396,10,2.7,md,,,,0.2,us,usp000713c,2014-11-07T00:58:23.788Z,"66 km SE of Tala Bay, Jordan",earthquake,,,,,reviewed,us,ryd
1995-07-11T17:12:56.160Z,28.549,34.786,10,3,md,,,,0.5,us,usp00070fw,2014-11-07T00:58:20.169Z,"29 km ENE of Dahab, Egypt",earthquake,,,,,reviewed,us,ryd
1995-07-10T17:12:56.160Z,28.549,34.786,10,3,md,,,,0.5,us,usp00070ek,2014-11-07T00:58:20.024Z,"29 km ENE of Dahab, Egypt",earthquake,,,,,reviewed,us,ryd
1995-07-06T19:15:39.780Z,28.51,34.742,10,2.7,md,,,,0.4,us,usp000708c,2014-11-07T00:58:18.737Z,"24 km E of Dahab, Egypt",earthquake,,,,,reviewed,us,ryd
1995-07-06T17:07:39.990Z,28.695,34.525,10,3.1,md,,,,0.5,us,usp0007086,2014-11-07T00:58:18.724Z,"23 km N of Dahab, Egypt",earthquake,,,,,reviewed,us,ryd
1995-07-06T15:00:51.560Z,28.763,34.582,10,2.7,md,,,,0.6,us,usp0007080,2014-11-07T00:58:18.673Z,"32 km NNE of Dahab, Egypt",earthquake,,,,,reviewed,us,ryd
1995-07-06T05:50:22.800Z,28.71,34.688,10,2.6,md,,,,0.5,us,usp000707d,2014-11-07T00:58:18.381Z,"31 km NE of Dahab, Egypt",earthquake,,,,,reviewed,us,ryd
1995-06-27T03:32:17.430Z,28.017,34.418,10,3.2,md,,,,0.3,us,usp0006zry,2014-11-07T00:58:12.013Z,"14 km NE of Sharm el-Sheikh, Egypt",earthquake,,,,,reviewed,us,ryd
1995-06-09T23:30:36.850Z,28.557,34.598,10,4.2,ml,,,,0.3,us,usp0006yve,2014-11-07T00:58:07.740Z,"13 km NE of Dahab, Egypt",earthquake,,,,,reviewed,us,jer
1995-05-14T04:00:17.400Z,28.374,34.585,10,4.3,mb,,,,0.7,us,usp0006xb3,2014-11-07T00:57:55.209Z,"14 km SE of Dahab, Egypt",earthquake,,,,3,reviewed,us,us
1995-04-06T05:24:57.180Z,27.309,33.397,30,4.3,md,,,,1.5,us,usp0006v8j,2014-11-07T00:57:39.956Z,"29 km WSW of El Gouna, Egypt",earthquake,,,,,reviewed,us,ryd
1995-03-30T08:52:34.330Z,27.906,34.795,10,2.8,md,,,,0.7,us,usp0006uxk,2014-11-07T00:57:34.375Z,"45 km E of Sharm el-Sheikh, Egypt",earthquake,,,,,reviewed,us,ryd
1995-03-15T09:20:31.120Z,27.617,33.933,10,3.8,mb,,,,0.8,us,usp0006u7d,2014-11-07T00:57:31.068Z,"35 km NE of El Gouna, Egypt",earthquake,,,,1,reviewed,us,us
1995-02-27T17:06:57.910Z,28.838,34.872,10,3.2,md,,,,0.5,us,usp0006tm9,2014-11-07T00:57:23.268Z,"30 km SE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1995-02-27T09:22:28.130Z,28.762,34.904,10,3.5,md,,,,0.7,us,usp0006tky,2014-11-07T00:57:23.211Z,"39 km SE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1995-02-26T08:36:28.120Z,27.943,34.643,10,4.6,ml,,,,0.6,us,usp0006tjj,2014-11-07T00:57:23.061Z,"30 km E of Sharm el-Sheikh, Egypt",earthquake,,,,,reviewed,us,jer
1995-02-25T10:35:22.710Z,26.725,35.201,10,2.9,md,,,,1.4,us,usp0006tgy,2014-11-07T00:57:22.757Z,"84 km SW of Duba, Saudi Arabia",earthquake,,,,,reviewed,us,ryd
